"","Unknown","Acinetobacter","Actinomyces","Akkermansia","Bacillus","Bacteroides","Bifidobacterium","Clostridium","Coprococcus","Dorea","Enterococcus","Escherichia","Faecalibacterium","HigherGenus","Lactobacillus","Neisseria","Prevotella","Propionibacterium","Pseudomonas","Roseburia","Ruminococcus","Staphylococcus","Streptococcus"
"SC284724","   0","   0","   0","   0","8403","   0","1145","4846","   0","   0"," 857","1936","   0","   0","   0","   0","   0","   0","   0","   0","   0","1710","1099"
"SC284725","    0","    0","    0","    0"," 5732","    0","   12","  520","    0","    0","    9"," 1753","    0","    0","    0","    0","    0","    0","    0","    0","    0","11837","  134"
"SC284726","   0","2379"," 289","   0","5525","1445"," 787","4465","   0","   0"," 634","1109","   0","   0","   0","   0","   0","   0"," 321","   0","   0","2450"," 591"
"SC284727","   0"," 106","   0","   0","2807","  12","   0","2154","   0","   0","  15","5296","   0","   0","   0","   0","   0","   0"," 106","   0","   0","6637","2863"
"SC284728","   0","   0","   0","   0","3237","   0","   0","   0","   0","   0","2028","1858","   0","6106","1166","   0","   0","   0"," 982","   0","   0","4618","   0"
"SC284729","   0","   0","   0","   0","3202","   0","   0","   0","   0","   0","2268","1360","   0","5705","1803","   0","   0","   0","1142","   0","   0","4515","   0"
"SC284730","   0","   0","   0","   0","7604","   0","1337","4423","   0","   0"," 786","1970","   0","   1","   0","   0","   0","   0","   0","   0","   0","1636","2238"
"SC284731","    0","    0","    0","    0"," 5536","    0","   17","  478","    0","    0","   12"," 1910","    0","    3","    0","    0","    0","    0","    0","    0","    3","11878","  160"
"SC284732","   0","2380"," 198","   0","5290","1395"," 888","4660","   0","   0"," 565","1133","   0","   0","   0","   0","   0","   1"," 286","   0","   0","2339"," 858"
"SC284733","   0","  94","   1","   0","2352","  26","   4","2974","   0","   0","   9","4882","   7","   0","   0","   0","   0","   0","  84","  17","  14","5805","3724"
"SC284734","   0","   0","   0","   0","3622","   0","   0","   0","   0","   0","1935","1862","   0","5927","1218","   0","   0","   0"," 983","   0","   0","4449","   0"
"SC284735","   1","   0","   0","   5","3636","   6","   0","   0","   4","   0","2161","1352","  22","5538","1701","   0","   0","   0","1143","  12","  15","4390","   0"
"SC326764","    0","    0","    0","    0"," 5548","    0","   15","  511","    0","    0","   11"," 1829","    0","    0","    0","    0","    0","    0","    0","    0","    0","11922","  161"
"SC326765","   0","2328"," 322","   0","5522","1426"," 877","4565","   0","   0"," 572","1140","   0","   0","   0","   0","   0","   0"," 285","   0","   0","2416"," 540"
"SC326766","   0","  97","   0","   0","2649","  17","   3","2578","   0","   0","  15","5236","   0","   0","   0","   0","   0","   0","  99","   0","   0","6671","2631"
"SC326767","   0","   0","   0","   0","3311","   0","   0","   0","   0","   0","1789","1615","   0","5860","1300","   0","   0","   0","1283","   0","   0","4835","   0"
"SC326768","   0","   0","   0","   0","3197","   0","   0","   0","   0","   0","2152","1384","   0","5509","1902","   0","   0","   0","1217","   0","   0","4634","   0"
"SC555338","    0","    0","    0","    0","  233","    0","    0","    0","    0","    0","    0","   24","    0","18785","    0","    0","    0","    0","  957","    0","    0","    0","    0"
"SC555339","    0","    0","    0","    0"," 4888","    0","   22","  546","    0","    0","   10"," 1997","    0","    0","    0","    0","    0","    0","    0","    0","    0","12371","  162"
"SC555340","   0","   0","   0","   0","3567","   0","   0","   0","   0","   0","1916","1720","   0","6071","1827","   0","   0","   0"," 887","   0","   0","4008","   0"
"SC555341","   0","   0","   0","   0","5497","   0","1596","8153","   0","   0"," 883","1130","   0","   0","   0","   0","   0","   0","   0","   0","   0","1418","1320"
"SC555342","   0","2244"," 552","   0","4393","1648","1303","4691","   0","  10"," 511","1430","   0","  12","   0","   0","   0","   0"," 224","   0","   0","2022"," 955"
"SC555343","   0"," 126","   0","   0","2446","  12","   0","1735","   0","   0","   8","5284","   0","  16","   0","   0","   1","   0"," 118","   8","   0","6088","4152"
"SC555344","   0","   0","   0","   0","2774","   0","   0","   0","   0","   0","1765","1701","   0","5776","2074","   0","   0","   0","1161","   0","   0","4744","   0"
"SC555345","   0","   0","   0","   0","3443","   0","   0","   0","   0","   0","2030","1494","   0","5165","2537","   3","   0","   0","1145","   0","   0","4178","   0"
"SC555346","   0","2332"," 581","   0","5103","1525","1270","3727","   0","   0"," 630","1172","   0","   0","   0","   0","   0","   3"," 295","   0","   4","2388"," 962"
"SC555347","   0","   0","   0","   0","4823","   0","3259","6835","   0","   0","1017","1425","   3","   0","   0","   0","  11","   0","   0","   0","   0","1346","1275"
"SC555348","   0","   0","   0","   0","4100","   0","   0","   0","   0","   0","1578","1581","   0","6139","1476","   0","   0","   0","1051","   0","   0","4070","   0"
"SC555349","    0","    0","    0","    0"," 5454","    0","   18","  400","    0","    0","   14"," 1611","    3","    9","    0","    0","    0","    0","    0","    0","    3","12336","  147"
"SC555350","   0"," 106","   0","   0","2123","  13","   0","1852","   0","   0","   0","5692","   0","  13","   0","   0","   0","   0"," 127","   0","   0","5968","4102"
"SC555351","    0","    0","    0","    0","  248","    0","    0","    0","    0","    0","    0","   14","    0","18834","    0","    0","    0","    0","  902","    0","    0","    0","    0"
