"","Unknown","Acidaminococcus","Acinetobacter","Actinomyces","Agrobacterium","Akkermansia","Aliivibrio","Alistipes","Alkanindiges","Anaerofilum","Anaerofustis","Anaerostipes","Anaerotruncus","Atopobium","Azospirillum","Bacillus","Bacteroides","Bifidobacterium","Bilophila","Blautia","Bradyrhizobium","Butyricimonas","Campylobacter","Capnocytophaga","cc_115","Clostridium","Collinsella","Coprobacillus","Coprococcus","Corynebacterium","Cryocola","Dehalobacterium","Deinococcus","Desulfovibrio","Devosia","Dialister","Dorea","Eggerthella","Eikenella","Enterococcus","Escherichia","Eubacterium","Faecalibacterium","Fusobacterium","Granulicatella","Haemophilus","HigherGenus","Holdemania","Jeotgalicoccus","Lachnobacterium","Lachnospira","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Lysobacter","Massilia","Megamonas","Mycobacterium","Mycoplana","Neisseria","Odoribacter","Oribacterium","Oscillospira","Oxalobacter","Paenibacillus","Parabacteroides","Paracoccus","Parvimonas","Pediococcus","Phascolarctobacterium","Phenylobacterium","Pleomorphomonas","Prevotella","Propionibacterium","Pseudomonas","Pyramidobacter","Ralstonia","Rhodoferax","Roseburia","Rothia","Rubellimicrobium","Ruminococcus","Sarcina","Slackia","SMB53","Sphingomonas","Staphylococcus","Streptococcus","Succiniclasticum","Sutterella","Turicibacter","Veillonella"
"SC249358","  24","   0","   0","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2166"," 177"," 304","  60","   0","   0","   0","   0","   0","   0","   4"," 782"," 573","   0","   0","   0","   0","   0","   0","   3","   6","   0","   0"," 468","2082","   0"," 103","4675","   0","   0","3642","   0","   0","   0","  12"," 361","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0"," 637","2497","   0","   0"," 544","   3","   0","   0","   0","   0","   0","  65"," 487","   0"," 101","   0","   0"," 171","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0"
"SC249362-PC04924-E-01","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","3045","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1921","4205","   0","   0","   2","   0","   0","6522","   0","   0","   0","   0","2636","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0"," 483","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","1171","   0","   0","   0","   0","   0"
"SC249363"," 136","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2006"," 288"," 436","   0","   0","   0","   0","   0","   0","   0","   2"," 697"," 443","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 315","2258","   0","   0","4965","   0","   0","2016","   0","   0","   0","   0"," 809","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 690","3513","   0","   0"," 438","   0","   0","   0","   0","   0","   0"," 132"," 841","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"SC249368-PC04924-B-02","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1700","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1315","4912","   0","   0","   1","   0","   0","6836","   0","   0","   0","   0","3698","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 676","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 857","   0","   0","   0","   0","   0"
"SC249383"," 281","   0","   0","   0","   0"," 143","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","2305","  79"," 511","  72","   0","   0","   0","   0","   0","   0","   3"," 555"," 256","   0","   0","   0","   0","   0","   0","   9","   5","   0","   0"," 265","2578","   0"," 250","4020","   0","   0","3330","   0","   0","   0","  16"," 357","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  23","   3"," 765","2712","   0","   0"," 362","  10","   0","   0","   0","   0","   5"," 106"," 583","   0"," 204","   0","   0"," 126","   0","   0","   0","   0","   8","   4","   0","   0","   0","   0"
"SC249388"," 140","   0","   0","   0","   0","  19","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2060"," 121"," 463","  16","   0","   0","   0","   0","   0","   0","   0"," 787"," 227","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0"," 285","3366","   0"," 164","3875","   0","   0","2771","   0","   0","   0","  14"," 299","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0"," 764","3365","   0","   0"," 389","   5","   0","   0","   0","   0","   0","  80"," 570","   0","  85","   0","   0","  83","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"SC249390","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","1421","  30","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1056","4734","   0","  35","   3","   0","   0","7003","   0","   0","   0","   0","3374","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0"," 534","   0","   1","   0","   0","   0","   0","  11","   0","   0","   0","   0","1750","   0","   0","   0","   0","   0"
"SC249391-PC04924-D-03","  12","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","1140","  30","   0","   2","  12","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1011","4559","   0","  40","   2","   0","   0","6760","   0","   0","   0","   0","4411","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0"," 498","   0","   0","   0","  16","   0","   0","  22","   0","   0","   0","   0","1444","   0","   0","   0","   0","   0"
"SC249393","2114","   0","   0","   0","   0","1170","   0","   1","   0","   0","   0","  25","   0","   0","   1","   2","3467","   0","  34","1004","   0","   0","   0","   0","   0","  37","   4","   0","1137","   0","   0","   0","   0","   0","   0","  75","  50","   0","   0","   0"," 119","   2","2515","   2","   0","   2","2767","  10","   0","   7"," 317","   3","   0","   0","   0","   0","   2","   0","   0","   0","   0","   7","   0"," 391","  19","   0"," 234","   2","   0","   0","  99","   0","   0","   0","   0","   1","   0","   0","   0","2194","   0","   0","1987","   0","   0","   3","   0","   0","  77","  16","   5","   0","   0"
"SC249408-PC04924-C-05","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1213","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 707","4469","   0","   0","   0","   0","   0","6436","   0","   0","   0","   0","3600","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2788","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0"," 776","   0","   0","   0","   0","   0"
"SC249409"," 122","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1997","  88"," 741","   0","   0","   0","   0","   0","   0","   0","  16"," 472"," 455","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 195","2877","   0","   1","3976","   0","   0","2689","   0","   0","   0","   0"," 266","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 680","3463","   0","   0"," 206","   0","   0","   0","   0","   0","   0","  77","1658","   0","   2","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0"
"SC249412","  24","   0","   0","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","1043","  52","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 732","4155","   0","  26","   0","   0","   0","6148","   0","   0","   0","  15","4022","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","2853","   0","   0","   0","  15","   0","   0","  21","   0","   0","   0","   0"," 828","   3","   0","   0","   0","   0"
"SC249413"," 210","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1943","  96"," 880","   0","   0","   0","   0","   0","   0","   0","  11"," 594"," 492","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 119","2753","   0","   2","4187","   0","   0","2071","   0","   0","   0","   0"," 728","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 889","3158","   0","   0"," 162","   0","   0","   0","   0","   0","   1"," 156","1529","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"SC249415","2462","   0","   0","   0","   0","1580","   0","   0","   0","   0","   0","  41","   0","   0","   0","   5","3363","   0","  69"," 663","   0","   0","   0","   0","   0","  23","   7","   0"," 631","   0","   0","   0","   0","   0","   0"," 222","  76","   0","   0","   6"," 635","   0","1782","   0","   0","   6","3451","  12","   0","   0"," 503","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 346","  27","   0"," 374","   0","   0","   0"," 176","   0","   0","   0","   0","   5","   0","   0","   0","1651","   0","   0","1724","   0","   0","   0","   0","  10","  57","   0","   0","   0","   1"
"SC249420-PC04924-G-06","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1244","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 552","4695","   0","   0","   0","   0","   0","6988","   0","   0","   0","   0","3647","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2187","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"," 680","   0","   0","   0","   0","   0"
