"","Unknown","Acidaminococcus","Actinomyces","Adlercreutzia","Akkermansia","Aliivibrio","Alistipes","Anaerofilum","Anaerofustis","Anaerostipes","Anaerotruncus","Bacillus","Bacteroides","Bifidobacterium","Bilophila","Blautia","Bradyrhizobium","Bulleidia","Butyricimonas","Campylobacter","cc_115","Christensenella","Cloacibacillus","Clostridium","Collinsella","Coprobacillus","Coprococcus","Cryocola","Dehalobacterium","Desulfovibrio","Dialister","Dorea","Eggerthella","Eikenella","Enterococcus","Escherichia","Eubacterium","Faecalibacterium","Finegoldia","Fusobacterium","Granulicatella","Haemophilus","HigherGenus","Holdemania","Lachnobacterium","Lachnospira","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Megamonas","Mogibacterium","Neisseria","Odoribacter","Oscillospira","Oxalobacter","Parabacteroides","Parvimonas","Pediococcus","Phascolarctobacterium","Prevotella","Pseudomonas","Pyramidobacter","Ralstonia","rc4-4","Roseburia","Rothia","Ruminococcus","Sarcina","Sharpea","SMB53","Staphylococcus","Streptococcus","Succiniclasticum","Sutterella","Turicibacter","Veillonella"
"SC249360-PC04924-C-01","2468","   0","   0","   0","4492","   0","  10","   6","   3","   0","   0","   0","9366","   0","  28","  31","   0","   0","   3","   0","   0","   0","   0","  43","   0","   0","  29","   0","   0","   0","   0","   5","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","1983","   0"," 185","  10","   0","   0","   0","   0","   0","   0","   0","   0"," 318","   0"," 112","   0","   0","   2","   2","   0","   0","   0","   0"," 184","   0"," 445","   0","   0","   0","   0","   0"," 173","  50","   0","   0"
"SC249365-PC04924-H-01"," 2021","    0","    0","    0"," 3573","    0","   11","    3","    2","    0","    0","    0","11126","    0","   41","   52","    0","    0","    6","    0","    0","    0","    0","   41","    0","    0","   22","    0","    0","    0","    0","    4","    0","    0","    0","    5","    2","    0","    0","    0","    0","    0"," 1718","    5","  148","   12","    0","    0","    0","    0","    0","    0","    0","    0","  307","    0","  135","    0","    0","    0","    0","    0","    3","    0","    0","  157","    0","  392","    0","    0","    0","    0","    0","  133","   34","    0","    0"
"SC249382-PC04924-D-02","2448","   0","   0","   0","5087","   0","  14","   0","   0","   0","   0","   5","9401","   0","  56","  46","   0","   0","   5","   0","   0","   0","   0","  38","   0","   0","  28","   0","   0","   0","   0","   1","   0","   0","   1","  29","   0","  15","   0","   6","   0","   0","1561","   6","  43","   8","  13","   0","   0","   0","   0","   0","   0","   0"," 278","   0"," 166","   0","   0","   0","   0","   1","   7","   3","   0","  64","   0"," 290","   0","   0","   0","   3","   0"," 256","  71","   0","   0"
"SC249385-PC04924-G-02","2413","   0","   0","   0","5073","   0","  11","   0","   0","   0","   0","   0","9669","   0","  33","  60","   0","   0","   0","   0","   0","   0","   0","  38","   0","   0","  44","   0","   0","   0","   0","   3","   0","   0","   0","  14","   0","  78","   0","   0","   0","   0","1466","   4","  38","  17","   0","   0","   0","   0","   0","   0","   1","   0"," 226","   0"," 101","   0","   0","   7","   0","   0","   7","   0","   0","  73","   0"," 346","   0","   0","   0","   0","   0"," 183","  46","   0","   0"
"SC249407","4044","   0","   0","   0","1270","   0","   0","   0","   0","  17","   0","   0","4725","   0","  57"," 880","   0","   0","   0","   0","   0","   0","   0","  17","   0","   0"," 966","   0","   0","   0","  90","  83","   0","   0","   0"," 113","   0","1631","   0","   0","   0","   2","2481","   0","   0"," 256","   4","   0","   0","   0","   0","   0","   0","  15"," 177","  13"," 530","   0","   0","  31","   0","   0","   0","   0","   0"," 976","   0","1450","   0","   0","   5","   1","  97","   0","   0","   1","   0"
"SC249410-PC04924-E-05","2298","   0","   0","   0","7109","   0","  17","   4","   2","   0","   0","   0","7919","   0","  75","   7","   0","   0","   3","   1","   0","   0","   0","  27","   0","   0","  22","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","  10","   0","   1","   0","   0","1503","   0","  55","  12","   2","   0","   0","   0","   0","   0","   0","   0"," 168","   0","  91","   0","   0","   2","   0","   0","   9","   0","   0","  67","   0"," 172","   0","   0","   0","   0","   0"," 319","  46","   0","   0"
"SC249411-PC04924-F-05","2772","   0","   0","   0","1651","   0","   0","   0","   0","  40","   0","   0","3517","   0","  47","1143","   0","   0","   0","   0","   0","   0","   0","  18","  18","   0","1211","   0","   0","   0","  68"," 120","   0","   0","   0"," 137","   0","1933","   0","   0","   0","   2","2451","  10","   5"," 318","   7","   0","   0","   0","   0","   0","   0","  12"," 199","  10"," 409","   0","   0","  53","   4","   0","   0","   0","   0","1662","   0","1977","   0","   0","   3","   0"," 115","   0","   0","   0","   1"
"SC249414-PC04924-A-06","3066","   0","   0","   0","1711","   0","   0","   0","   0","  43","   0","   2","3522","   0","  44"," 940","   0","   0","   0","   0","   0","   0","   0","  14","  12","   0"," 979","   0","   0","   0"," 121"," 124","   0","   0","   0"," 127","   0","1917","   0","   0","   0","   3","2817","   6","   0"," 784","   9","   0","   0","   0","   0","   0","   0","   0"," 204","  14"," 391","   0","   0","  75","   0","   0","   0","   0","   0"," 910","   0","1963","   0","   0","   4","   2"," 113","   0","   0","   0","   0"
"SC249417"," 2133","    0","    0","    0"," 5070","    0","   13","    5","    1","    0","    0","    0","10085","    0","   96","   13","    0","    0","    6","    0","    0","    0","    0","   25","    0","    0","   23","    0","    0","    0","    0","    2","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0"," 1637","    5","   72","   18","    0","    0","    0","    0","    0","    0","    0","    0","  173","    0","   76","    0","    0","    4","    0","    0","    8","    0","    0","   84","    0","  148","    0","    0","    0","    0","    0","  191","   59","    0","    0"
"SC249418-PC04924-E-06","2835","   0","   0","   0","2449","   0","   0","   0","   0","  34","   0","   0","2932","   0","  29","1304","   0","   0","   0","   0","   0","   0","   0","  18","   0","   1","1257","   0","   0","   0"," 158"," 135","   0","   0","   0"," 203","   0","2635","   0","   0","   0","   0","2431","   5","   0"," 106","  11","   0","   0","   0","   0","   0","   0","  15"," 183","  11"," 279","   0","   0","  22","   0","   0","   0","   0","   0","1001","   0","1751","   0","   0","   3","   0"," 114","   0","   0","   4","   0"
