"","Group.1","SC249442","SC249443-PC04924-D-09","SC249445-PC04924-E-09","SC249446","SC249447-PC04924-G-09","SC249448-PC04924-H-09","SC249449-PC04924-A-10","SC249451-PC04924-C-10","SC249452","SC249453-PC04924-E-10","SC249445-PC04925-B-05","SC249447-PC04925-C-05","SC249448-PC04925-A-11","SC249448-PC04925-D-05","SC249449-PC04925-E-05","SC249453-PC04925-F-05","SC253181-PC04925-G-05","SC253182-PC04925-H-05","SC253183-PC04925-A-06","SC253184-PC04925-B-06","SC253185","SC253186-PC04925-D-06","SC253188","SC253189","SC253190-PC04925-G-06","SC253190-PC04925-H-06","SC253191","SC253192","SC253193","SC253194","SC253195-PC04925-E-07","SC253196-PC04925-F-07","SC253197-PC04925-G-07","SC253197-PC04925-H-07","SC253199-PC04925-A-08","SC253199-PC04925-B-08","SC253199-PC04925-E-11","SC253200-PC04925-C-08","SC253201-PC04925-D-08","SC253201-PC04925-E-08","SC253203-PC04925-G-08","SC253203-PC04925-H-08","SC253204","SC249443-PC07578-E-05","SC249448","SC249451-PC07578-F-06","SC249453","SC253181-PC07578-G-05","SC253182-PC07578-A-01","SC253183-PC07578-D-08","SC253184-PC07578-G-06","SC253186-PC07578-D-06","SC253195-PC07578-E-07","SC253196-PC07578-F-07","SC253200-PC07578-C-08","SC253201","SC253202-PC07578-F-08","SC552962","SC553006","SC553008","SC553010","SC553015","SC555351"
"1","c__Clostridia",0,6,35,33,40,18,31,0,13,21,35,42,23,25,25,30,0,9,41,54,0,8,42,0,58,48,56,0,0,0,0,0,40,44,22,29,27,0,45,47,44,39,2,8,22,0,25,0,0,39,50,0,0,0,0,45,23,0,158,14,25,0,0
"2","g__",1,230,1026,605,2577,1135,899,1,3737,1070,1098,2352,1067,1000,889,1077,0,3665,1733,1823,94,3866,2109,0,1734,1724,2483,180,3542,0,131,11,1843,1684,1981,2068,2090,3398,2035,1951,1839,1769,209,236,1011,1,1085,4,3644,1891,1886,4003,602,11,3672,2149,2004,2878,2184,1914,1879,2122,0
"3","g__[Eubacterium]",0,0,0,0,6,0,1,0,7,0,0,9,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,5,0,0,0,3,2,3,2,3,4,0,1,0,1,0,0,0,0,2,0,3,0,0,2,0,0,8,0,0,0,15,7,0,0,0
"4","g__[Prevotella]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","g__[Ruminococcus]",0,96,268,218,247,111,206,1,50,230,215,251,133,117,187,170,0,4,121,197,0,15,95,0,186,211,257,0,32,0,7,2,296,310,261,276,276,37,189,205,332,297,23,62,119,0,169,0,5,127,131,16,10,0,36,194,428,105,67,838,241,118,0
"6","g__Acidaminococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,0
"7","g__Acinetobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8","g__Actinomyces",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","g__Adlercreutzia",0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"10","g__Akkermansia",0,46,1231,321,2416,1611,1110,0,4052,1137,1256,2891,2068,1791,1173,1562,1,7404,3765,2894,3,6343,2505,1,2819,2939,1464,31,5732,3,24,19,2278,2235,1930,1662,1555,6018,1589,1541,2693,2672,51,56,1520,7,1209,2,6407,3185,2866,5251,541,13,4701,1396,463,1383,3999,86,16,504,0
"11","g__Aliivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,648,206,67,32,0
"12","g__Alistipes",0,0,0,0,6,0,0,0,9,0,0,8,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,9,2,0,12,0,0,9,0,7,0,0,0
"13","g__Alloiococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","g__Anaerofilum",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"15","g__Anaerofustis",0,0,0,0,3,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"16","g__Anaerostipes",0,0,39,14,7,14,32,0,0,27,36,7,19,18,31,30,0,0,16,23,0,0,14,0,30,24,60,0,0,0,0,0,35,53,50,53,59,0,37,52,79,73,0,3,18,0,40,0,0,17,25,0,0,0,0,53,24,12,7,57,16,0,0
"17","g__Anaerotruncus",0,0,0,0,0,0,1,0,0,0,1,0,1,2,3,0,0,0,2,3,0,0,2,0,5,3,12,0,0,0,0,0,2,4,4,5,0,0,5,5,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,43,0,0,3,0
"18","g__Bacillus",3843,142,0,9,0,0,0,3639,0,0,0,0,2,0,0,0,2301,0,2,0,1,0,0,2757,0,0,0,0,0,2212,8,3219,0,0,0,1,0,1,0,0,0,0,5,178,0,4274,0,2065,0,0,0,22,1,2982,3,0,7,0,0,0,31,0,248
"19","g__Bacteroides",0,1021,596,1028,3667,1330,748,4,5236,896,666,3104,1323,1220,720,872,1,4775,1401,1855,1788,4320,3178,0,1575,1613,3105,2037,4166,9,1453,13,1106,1145,1870,1978,1960,4154,2134,1909,1639,1586,1523,1117,1319,1,893,3,4875,1566,1916,4846,2896,29,4467,2051,1830,4620,4122,7998,1747,6501,0
"20","g__Bifidobacterium",0,500,0,125,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,125,0,0,0,0,0,0,142,0,0,441,0,0,0,0,0,0,0,0,0,0,0,306,506,0,0,1,0,0,0,0,0,383,0,0,0,0,14,18,0,53,0,0
"21","g__Bilophila",0,680,35,542,43,60,29,0,49,48,39,34,57,50,38,38,0,17,91,89,721,35,97,0,85,73,34,771,59,0,584,1,67,59,63,69,81,60,62,62,85,67,879,666,55,0,51,0,15,110,97,41,545,0,59,67,36,40,2,0,1,6,0
"22","g__Blautia",15,504,679,1194,1145,214,426,0,288,588,636,1290,240,221,392,547,0,27,280,497,2,61,193,0,465,521,787,0,158,5,16,4,544,663,473,505,437,159,414,414,687,593,37,453,201,5,446,6,50,268,386,62,45,2,157,406,1170,1029,603,1375,458,1514,0
"23","g__Bradyrhizobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"24","g__Bulleidia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","g__Butyricimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,18,0
"26","g__Campylobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
"27","g__cc_115",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","g__Christensenella",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"29","g__Clostridium",0,8,15,19,37,8,15,0,11,23,27,34,6,9,23,15,0,16,38,42,0,12,39,0,47,51,22,0,12,0,0,0,48,45,40,38,38,13,41,46,49,52,0,9,7,0,18,0,24,41,47,16,6,0,14,51,45,52,25,0,20,219,0
"30","g__Collinsella",0,214,7,163,23,0,6,0,3,7,25,70,8,0,13,17,0,0,19,29,0,0,11,0,35,35,39,35,0,0,78,0,43,38,26,32,31,0,37,33,51,56,55,260,8,0,11,0,0,14,22,0,51,0,0,19,5,5,0,14,7,0,0
"31","g__Coprobacillus",0,235,0,145,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,790,0,0,0,0,0,0,538,0,0,528,0,0,0,1,1,0,0,0,0,0,0,501,235,0,0,0,0,0,0,0,0,516,0,0,0,0,0,49,0,0,0,0
"32","g__Coprococcus",4,540,1778,850,636,1550,1692,2,54,1582,1648,622,1593,1524,1681,1533,0,18,402,562,284,28,323,0,743,738,959,373,43,6,404,10,1099,1036,1132,1184,1201,39,804,763,930,1000,294,517,1571,6,1592,7,4,456,609,30,441,3,47,805,1662,268,717,1111,691,581,0
"33","g__Corynebacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","g__Cryocola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,2,3,0,0
"35","g__Dehalobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"36","g__Desulfovibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
"37","g__Dialister",0,0,93,28,28,94,74,0,0,86,106,40,128,118,92,101,0,0,417,382,0,0,410,0,376,315,161,0,0,0,5,1,310,267,251,276,258,0,336,316,226,250,5,8,138,0,106,0,0,444,397,0,5,0,0,321,42,0,193,0,690,0,0
"38","g__Dorea",2,49,87,112,148,37,61,3,20,71,77,134,45,30,50,63,0,3,57,85,0,7,31,0,64,80,67,0,9,0,0,0,100,112,64,66,81,9,63,69,98,108,4,36,28,4,62,0,4,56,63,5,3,0,11,75,67,124,192,274,77,229,0
"39","g__Eggerthella",0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"40","g__Eikenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
"41","g__Enterococcus",2181,1912,0,1448,0,0,0,2235,3,0,0,0,0,1,2,0,1413,0,0,0,301,0,0,1341,0,0,0,699,0,2043,761,1715,0,0,0,0,0,0,0,0,0,0,895,2169,0,2330,0,1539,0,0,0,15,670,1746,3,0,11,18,0,0,0,24,0
"42","g__Escherichia",2416,1843,177,1512,78,372,152,2372,8,95,208,74,323,295,162,92,3442,7,441,442,3225,6,568,3180,414,414,147,2474,6,2798,2164,2927,315,274,243,269,249,5,167,162,155,141,2230,1647,277,2062,69,3093,4,442,396,37,1744,2820,14,150,92,0,31,5,7,0,14
"43","g__Faecalibacterium",15,526,3719,1666,1685,5000,4323,9,47,4364,4172,1656,4308,5248,4782,3968,0,4,3067,3115,5,1,3004,1,3443,3317,1960,2,3,8,143,43,4091,4017,4502,4311,4239,6,3913,3909,3979,4303,158,494,5039,31,3939,15,5,3236,3318,14,160,14,14,3995,3623,2200,722,1462,2253,1110,0
"44","g__Finegoldia",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","g__Fusobacterium",0,2369,0,1691,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3633,0,0,0,0,0,0,3304,0,0,4464,1,0,0,0,0,0,0,0,0,0,0,3627,2739,0,0,0,0,0,0,0,1,3166,0,0,0,14,0,0,0,5,0,0
"46","g__Granulicatella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,1,2,0,0,0,0,0,0,4,2,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,10,0,0
"47","g__Haemophilus",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,0,3,2,0,3,0,0,0,0,0,3,0,1,0,0,0,1,2,0,0,0,0,0,0
"48","g__Holdemania",0,0,8,4,7,5,6,0,0,6,13,6,9,8,8,12,0,6,27,28,0,8,33,0,32,31,0,0,8,0,0,0,24,18,21,20,19,8,22,16,19,18,0,1,7,0,7,0,9,28,32,5,1,0,8,15,10,0,0,6,0,0,0
