"","CL3","CC1","SV1","M31Fcsw","M11Fcsw","M31Plmr","M11Plmr","F21Plmr","M31Tong","M11Tong","LMEpi24M","SLEpi20M","AQC1cm","AQC4cm","AQC7cm","NP2","NP3","NP5","TRRsed1","TRRsed2","TRRsed3","TS28","TS29","Even1","Even2","Even3"
"951",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"549041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,4,0,0,0,0,0
"108964",0,1,0,1,1,0,3,9,19,1,4,4,3,4,7,7,193,1510,667,6691,11117,16,3,59,3,3
"71074",234,983,28774,1,1,40,75,128,4,1,3,1,1,3,4,0,2,0,22,286,139,3,3,7,7,74
"173903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"47016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"548723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"526502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"132088",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"236606",0,0,0,0,0,0,0,0,0,0,1,0,12,151,162,0,0,0,0,0,0,0,0,0,0,0
"206978",0,0,0,0,0,0,0,0,0,0,0,0,8,42,61,1,0,0,0,1,1,0,0,0,0,0
"557121",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"264985",0,0,0,0,0,0,0,0,0,0,0,0,1,8,7,0,0,0,0,0,0,0,0,0,0,0
"248224",0,0,0,0,0,0,0,0,0,0,0,0,9,127,146,0,0,0,0,0,0,0,0,0,0,0
"212360",11,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"140297",0,0,0,0,0,0,0,0,0,0,0,0,8,19,17,0,0,0,0,0,0,0,0,0,0,0
"77878",1,0,0,0,0,0,1,0,2,2,23,25,766,2649,2997,22,5,1,1,1,1,1,3,3,0,1
"155634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"227785",0,1,0,27,54,0,0,0,4,0,1,0,28,98,66,0,1,1,0,2,13,1568,1670,2,0,2
"368907",10,0,0,0,0,257,293,20,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"378053",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165106",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12751",15,362,8,0,0,2,1,3,0,0,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0
"145101",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"428663",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145776",16,309,187,0,0,28,42,25,1,0,0,2,0,2,0,0,0,0,0,2,1,0,1,0,0,0
"207298",88,359,944,1,0,20,58,32,0,0,0,0,5,0,3,0,7,0,1,15,0,0,1,1,2,3
"559914",87,245,453,1,0,70,148,33,1,1,0,1,12,20,24,0,92,0,4,19,3,0,0,1,1,1
"32247",16,228,31,0,0,17,88,16,0,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,1
"248838",38,60,1683,0,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,1,1,5
"45777",11,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"533436",168,160,218,0,0,21,53,14,1,0,0,1,36,15,12,0,0,0,0,2,0,0,0,2,2,1
"354168",1,7,265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"104948",50,28,234,0,0,3,13,7,9,1,1,0,5,4,7,0,0,0,1,19,9,0,0,0,0,0
"246769",4,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0
"273580",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89696",0,1,9,0,0,13,22,2,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0
"471203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"589503",46,36,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0
"337753",4,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0
"23223",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"108281",19,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"12151",42,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"249700",12,36,88,0,0,0,3,1,1,0,0,0,2,4,5,0,0,0,0,1,8,0,0,0,0,0
"181053",18,65,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0
"12131",0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"535545",364,45,680,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3,1,5
"160968",35,61,43,0,0,11,2,7,0,0,0,0,0,1,0,0,0,0,0,12,4,0,0,0,0,0
"534213",198,63,684,0,1,0,19,1,0,3,34,1,3,1,7,2,1,0,0,3,0,0,0,0,0,2
"549001",27,144,44,0,0,16,12,6,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"542752",1,2,1,0,0,0,0,5,0,0,6,0,0,0,0,0,1,0,0,7,12,0,0,0,0,0
"158633",22,150,226,0,0,12,35,33,0,0,0,0,0,1,2,0,0,0,1,9,4,0,0,1,3,0
"175954",284,1332,5576,2,2,54,727,82,15,0,3,2,4,3,7,2,0,0,2,24,13,2,0,6,4,11
"133017",5,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12988",27,241,987,0,0,29,56,13,0,0,2,0,2,0,0,0,1,0,2,3,2,0,0,1,1,1
"12989",385,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
"12970",36,7,275,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"248764",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57769",5,3,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33829",5,199,57,0,0,4,7,1,0,0,5,0,1,0,1,0,0,1,0,1,0,0,0,2,0,1
